 1   2   3   4   5
 6   7   8   9  10
11  12  13  14  15
 1   6  16  17  18
 2   7  11  16  17
 3   4   8  12  18
 5   9  10  13  18
 5   8  14  15  16
 3   4   9  14  17
 1   7  10  12  15
 2   3   6  13  15
 4   5   6  11  12
 1   8   9  11  13
 2   7  10  14  18
 4  10  13  16  17
 2   9  12  15  16
 3   5   7  11  17
 1   3   6  14  16
 4   8  11  15  18
 2   8  12  13  17
 7   9  13  14  18
 3   5  10  11  17
 1   4   5   7  14
 5   6  14  15  17
 2   6  11  16  18
 3   7  10  12  16
 2   8   9  10  14
 1   4   6  13  16
 1   3   9  11  17
