1  2  3  4  5
 1  2  6  7 11
 1  2  9 16 20
 1  3  6 12 20
 1  3  8  9 11
 1  4  6  9 16
 1  4 13 14 17
 1  4 17 18 20
 1  5  7 10 17
 1  5  9 15 21
 1  5 12 17 22
 1  6 13 19 21
 1  7 10 21 22
 1  7 13 15 19
 1  8 10 17 19
 1  8 13 16 22
 1  8 14 15 22
 1  8 16 18 21
 1 10 11 15 18
 1 10 12 13 14
 1 13 18 19 22
 1 14 16 21 22
 2  3  7 13 14
 2  3 15 16 19
 2  3 17 20 21
 2  4  6 19 21
 2  4  8 21 22
 2  4  9 12 15
 2  4 10 14 19
 2  4 11 16 17
 2  5  6 14 18
 2  5 10 12 21
 2  5 13 19 22
 2  6 13 15 17
 2  7  8 12 16
 2  8 10 18 20
 2  9 10 11 13
 2 10 15 20 22
 2 11 12 18 19
 2 11 17 18 22
 3  4  7 17 21
 3  4 13 15 20
 3  5 12 13 21
 3  5 12 15 17
 3  6  8 11 18
 3  6  9 13 22
 3  6 10 16 21
 3  7  9 10 16
 3  7 12 18 22
 3  8 10 13 19
 3  8 14 16 17
 3  9 14 18 19
 3 10 11 14 22
 4  5  6 12 14
 4  5 10 15 18
 4  5 16 19 22
 4  6  7  8 20
 4  7  8 12 19
 4  7  8 13 18
 4  9 11 19 22
 4 10 11 12 16
 4 11 12 20 21
 4 11 14 16 18
 4 15 16 17 22
 5  6  7 17 19
 5  6  8 20 22
 5  6  9 11 20
 5  7  8 11 15
 5  7  9 18 21
 5  7 13 14 20
 5  8  9 17 19
 5  9 11 13 16
 5 10 16 18 20
 5 11 14 19 20
 6  7 11 13 15
 6  8  9 10 14
 6 10 12 13 22
 6 10 17 18 19
 6 12 14 17 21
 6 14 15 16 19
 6 16 18 20 22
 7  9 12 16 19
 7  9 14 17 22
 7 11 16 19 20
 7 14 15 18 21
 8  9 12 15 18
 8 11 14 15 21
 9 10 13 21 22
 9 10 15 17 20
 9 13 14 20 21
10 12 15 16 20
11 12 13 17 20
11 12 14 20 22
11 17 19 21 22
13 16 17 18 21
15 19 20 21 22
