1  2  3  4  5  6
 1  2  3  9 11 12
 1  2  7  8  9 10
 1  3  6  7 10 12
 1  3  6  8  9 11
 1  4  5  7 10 11
 1  4  5  8  9 12
 2  3  5  7  9 12
 2  3  5  8 10 11
 2  4  6  7  9 11
 2  4  6  8 10 12
 3  4  5  6  9 10
 3  4  7  8 11 12
 3  5  6  7  8  9
 5  6  9 10 11 12
13 14 15 16 17 18
13 14 15 21 23 24
13 14 19 20 21 22
13 15 18 19 22 24
13 15 18 20 21 23
13 16 17 19 22 23
13 16 17 20 21 24
14 15 17 19 21 24
14 15 17 20 22 23
14 16 18 19 21 23
14 16 18 20 22 24
15 16 17 18 21 22
15 16 19 20 23 24
15 17 18 19 20 21
17 18 21 22 23 24
